Class,Total_Samples,Correct,Incorrect,Accuracy,Precision,Recall,F1_Score
Bark,10,10,0,1.0,0.9090909090909091,1.0,0.9523809523809523
Skateboard,7,7,0,1.0,0.875,1.0,0.9333333333333333
Hi-hat,6,6,0,1.0,0.8571428571428571,1.0,0.923076923076923
Female_speech_and_woman_speaking,4,4,0,1.0,0.6666666666666666,1.0,0.8
Drawer_open_or_close,10,10,0,1.0,0.8333333333333334,1.0,0.9090909090909091
Crowd,1,1,0,1.0,1.0,1.0,1.0
Harmonica,13,12,1,0.9230769230769231,0.8571428571428571,0.9230769230769231,0.888888888888889
Toilet_flush,13,12,1,0.9230769230769231,0.8571428571428571,0.9230769230769231,0.888888888888889
Bass_guitar,12,11,1,0.9166666666666666,0.8461538461538461,0.9166666666666666,0.8799999999999999
Gong,10,9,1,0.9,0.6428571428571429,0.9,0.75
Female_singing,10,9,1,0.9,0.8181818181818182,0.9,0.8571428571428572
Chirp_and_tweet,9,8,1,0.8888888888888888,0.42105263157894735,0.8888888888888888,0.5714285714285714
Male_singing,7,6,1,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75
Computer_keyboard,13,11,2,0.8461538461538461,0.9166666666666666,0.8461538461538461,0.8799999999999999
Bicycle_bell,12,10,2,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143
Glockenspiel,11,9,2,0.8181818181818182,0.6923076923076923,0.8181818181818182,0.7500000000000001
Zipper_(clothing),11,9,2,0.8181818181818182,0.6428571428571429,0.8181818181818182,0.7200000000000001
Accordion,5,4,1,0.8,0.8,0.8,0.8000000000000002
Purr,10,8,2,0.8,1.0,0.8,0.888888888888889
Chink_and_clink,5,4,1,0.8,0.5714285714285714,0.8,0.6666666666666666
Stream,14,11,3,0.7857142857142857,0.6875,0.7857142857142857,0.7333333333333334
Tick-tock,14,11,3,0.7857142857142857,0.6111111111111112,0.7857142857142857,0.6875000000000001
Car_passing_by,12,9,3,0.75,0.45,0.75,0.5625000000000001
Gasp,4,3,1,0.75,0.6,0.75,0.6666666666666665
Frying_(food),12,9,3,0.75,0.6,0.75,0.6666666666666665
Shatter,8,6,2,0.75,0.75,0.75,0.75
