Class,Total_Samples,Correct,Incorrect,Accuracy,Precision,Recall,F1_Score
Bark,10,10,0,1.0,0.9090909090909091,1.0,0.9523809523809523
Hi-hat,6,6,0,1.0,1.0,1.0,1.0
Accordion,5,5,0,1.0,1.0,1.0,1.0
Toilet_flush,13,13,0,1.0,0.8666666666666667,1.0,0.9285714285714286
Bass_guitar,12,11,1,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666
Gong,10,9,1,0.9,0.75,0.9,0.8181818181818182
Female_singing,10,9,1,0.9,0.75,0.9,0.8181818181818182
Drawer_open_or_close,10,9,1,0.9,0.8181818181818182,0.9,0.8571428571428572
Skateboard,7,6,1,0.8571428571428571,1.0,0.8571428571428571,0.923076923076923
Male_singing,7,6,1,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.75
Computer_keyboard,13,11,2,0.8461538461538461,1.0,0.8461538461538461,0.9166666666666666
Harmonica,13,11,2,0.8461538461538461,0.9166666666666666,0.8461538461538461,0.8799999999999999
Frying_(food),12,10,2,0.8333333333333334,0.625,0.8333333333333334,0.7142857142857143
Bicycle_bell,12,10,2,0.8333333333333334,0.7142857142857143,0.8333333333333334,0.7692307692307692
Purr,10,8,2,0.8,0.7272727272727273,0.8,0.761904761904762
Chink_and_clink,5,4,1,0.8,0.5714285714285714,0.8,0.6666666666666666
Bass_drum,5,4,1,0.8,0.8,0.8,0.8000000000000002
Meow,5,4,1,0.8,0.5714285714285714,0.8,0.6666666666666666
Buzz,9,7,2,0.7777777777777778,1.0,0.7777777777777778,0.8750000000000001
Chirp_and_tweet,9,7,2,0.7777777777777778,0.5384615384615384,0.7777777777777778,0.6363636363636364
Female_speech_and_woman_speaking,4,3,1,0.75,0.75,0.75,0.75
Gasp,4,3,1,0.75,0.5,0.75,0.6
Car_passing_by,12,9,3,0.75,0.5,0.75,0.6
Shatter,8,6,2,0.75,0.5454545454545454,0.75,0.631578947368421
Church_bell,15,11,4,0.7333333333333333,0.6875,0.7333333333333333,0.7096774193548386
Glockenspiel,11,8,3,0.7272727272727273,0.6666666666666666,0.7272727272727273,0.6956521739130435
Tick-tock,14,10,4,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666
Sigh,7,5,2,0.7142857142857143,1.0,0.7142857142857143,0.8333333333333333
Waves_and_surf,14,10,4,0.7142857142857143,0.6666666666666666,0.7142857142857143,0.689655172413793
Stream,14,10,4,0.7142857142857143,0.625,0.7142857142857143,0.6666666666666666
Printer,9,6,3,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285715
Knock,9,6,3,0.6666666666666666,0.46153846153846156,0.6666666666666666,0.5454545454545455
Fart,6,4,2,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
Gurgling,6,4,2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Bathtub_(filling_or_washing),11,7,4,0.6363636363636364,0.7,0.6363636363636364,0.6666666666666666
Fill_(with_liquid),8,5,3,0.625,0.5,0.625,0.5555555555555556
Marimba_and_xylophone,8,5,3,0.625,0.8333333333333334,0.625,0.7142857142857143
Keys_jangling,10,6,4,0.6,0.75,0.6,0.6666666666666665
Burping_and_eructation,5,3,2,0.6,1.0,0.6,0.7499999999999999
Trickle_and_dribble,5,3,2,0.6,0.6,0.6,0.6
Male_speech_and_man_speaking,5,3,2,0.6,1.0,0.6,0.7499999999999999
Hiss,12,7,5,0.5833333333333334,0.4375,0.5833333333333334,0.5
Run,12,7,5,0.5833333333333334,0.5,0.5833333333333334,0.5384615384615384
Crackle,12,7,5,0.5833333333333334,0.5,0.5833333333333334,0.5384615384615384
Whispering,7,4,3,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
Writing,11,6,5,0.5454545454545454,0.5,0.5454545454545454,0.5217391304347826
Bus,14,7,7,0.5,0.5384615384615384,0.5,0.5185185185185186
Motorcycle,12,6,6,0.5,0.6,0.5,0.5454545454545454
Finger_snapping,4,2,2,0.5,1.0,0.5,0.6666666666666666
Scissors,11,5,6,0.45454545454545453,0.4166666666666667,0.45454545454545453,0.43478260869565216
Traffic_noise_and_roadway_noise,11,5,6,0.45454545454545453,0.625,0.45454545454545453,0.5263157894736842
Zipper_(clothing),11,5,6,0.45454545454545453,0.7142857142857143,0.45454545454545453,0.5555555555555556
Cricket,12,5,7,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667
Mechanical_fan,10,4,6,0.4,0.5714285714285714,0.4,0.47058823529411764
Race_car_and_auto_racing,5,2,3,0.4,0.6666666666666666,0.4,0.5
Chewing_and_mastication,13,5,8,0.38461538461538464,0.625,0.38461538461538464,0.4761904761904762
Accelerating_and_revving_and_vroom,6,2,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Microwave_oven,9,3,6,0.3333333333333333,0.375,0.3333333333333333,0.35294117647058826
Screaming,6,2,4,0.3333333333333333,0.5,0.3333333333333333,0.4
Child_speech_and_kid_speaking,3,1,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
Walk_and_footsteps,6,2,4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.4444444444444444
Clapping,3,1,2,0.3333333333333333,0.25,0.3333333333333333,0.28571428571428575
Sneeze,8,2,6,0.25,0.3333333333333333,0.25,0.28571428571428575
Electric_guitar,6,1,5,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.2222222222222222
Yell,3,0,3,0.0,0.0,0.0,0.0
Acoustic_guitar,1,0,1,0.0,0.0,0.0,0.0
Raindrop,1,0,1,0.0,0.0,0.0,0.0
Crowd,1,0,1,0.0,0.0,0.0,0.0
Cupboard_open_or_close,4,0,4,0.0,0.0,0.0,0.0
Cutlery_and_silverware,2,0,2,0.0,0.0,0.0,0.0
Squeak,3,0,3,0.0,0.0,0.0,0.0
Slam,4,0,4,0.0,0.0,0.0,0.0
Drip,1,0,1,0.0,0.0,0.0,0.0
Tap,4,0,4,0.0,0.0,0.0,0.0
