Model,Mean Diff (%),t-statistic,p-value,Cohen's d,Significance
LinearSVC,43.23681369927499,14.175133045318896,1.1781282346771986e-22,1.647825745397806,***
MobileNetV4,63.967312682482955,22.053372353649788,5.237092038288979e-34,2.5636524624500128,***
VGGish_Solo,48.485082697544,14.05432394619756,1.8652654991781515e-22,1.6337819728861824,***
VGGish_Tabular,73.66489162735292,23.088374055990666,2.7860875272413935e-35,2.683968966442973,***
