model_name,timestamp,epoch,train_loss,valid_loss,accuracy,lr
resnet18,2025-10-17T16:39:13.878636,1,5.655494689941406,9.914763450622559,0.030480656772851944,0.004
resnet18,2025-10-17T16:39:13.878659,2,5.011073589324951,4.493222713470459,0.08089097589254379,0.004053958249355684
resnet18,2025-10-17T16:39:13.878678,3,4.523954391479492,4.107470989227295,0.08440797030925751,0.004215711685228015
resnet18,2025-10-17T16:39:13.878690,4,3.7601091861724854,2.7980825901031494,0.27198123931884766,0.004484896643774199
resnet18,2025-10-17T16:39:13.878699,5,3.128657341003418,2.4390034675598145,0.37280187010765076,0.0048609079271143985
resnet18,2025-10-17T16:39:13.878709,6,2.654494047164917,2.4150006771087646,0.36107856035232544,0.0004
resnet18,2025-10-17T16:39:13.878716,7,2.6171326637268066,2.8086769580841064,0.2614302337169647,0.00040134914583748495
resnet18,2025-10-17T16:39:13.878724,8,2.553332805633545,2.6858177185058594,0.3059788942337036,0.00040539582493556844
resnet18,2025-10-17T16:39:13.878732,9,2.7961881160736084,2.7411892414093018,0.2778429090976715,0.00041213776247747555
resnet18,2025-10-17T16:39:13.878739,10,2.6431868076324463,2.574746608734131,0.3434935510158539,0.00042157116852280154
resnet18,2025-10-17T16:39:13.878746,11,2.4854249954223633,3.268059492111206,0.25205159187316895,0.00043369074013800457
resnet18,2025-10-17T16:39:13.878754,12,2.3104782104492188,2.0320472717285156,0.46072685718536377,0.00044848966437741994
resnet18,2025-10-17T16:39:13.878761,13,2.181044578552246,2.0260231494903564,0.46776083111763,0.000465959622113115
resnet18,2025-10-17T16:39:13.878768,14,2.098325729370117,1.9197732210159302,0.48534584045410156,0.0004860907927114399
resnet18,2025-10-17T16:39:13.878775,15,2.021930456161499,1.9180831909179688,0.4994138479232788,0.0005088718595536379
resnet18,2025-10-17T16:39:13.878781,16,1.979769229888916,1.881554126739502,0.49824151396751404,0.00012
resnet18,2025-10-17T16:39:13.878787,17,1.9782568216323853,1.906799554824829,0.4923798441886902,0.0001201011894931285
resnet18,2025-10-17T16:39:13.878795,18,1.9684737920761108,1.8879867792129517,0.5005861520767212,0.00012040474375124548
resnet18,2025-10-17T16:39:13.878802,19,2.004056930541992,1.9789998531341553,0.47010549902915955,0.00012091062011254312
