Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
DummyClassifier,0.01756440281030445,0.013513513513513514,0.0006063660348781742,0.009750127792358398,Success
BernoulliNB,0.0468384074941452,0.038284238284238284,0.021222532613885372,0.26735711097717285,Success
GaussianNB,0.19789227166276346,0.18506013506013508,0.16683120965802506,1.1315548419952393,Success
NearestCentroid,0.19672131147540983,0.1856144606144606,0.18088284267089358,0.18356990814208984,Success
Perceptron,0.3161592505854801,0.2760728385728386,0.289255725277886,15.246454238891602,Success
LogisticRegression,0.531615925058548,0.4916122916122916,0.5162133912670261,95.5872073173523,Success
RidgeClassifier,0.49063231850117095,0.44134165384165386,0.45817540376672455,0.500725269317627,Success
RidgeClassifierCV,0.4601873536299766,0.4122320997320997,0.41971349907189,7.431884527206421,Success
PassiveAggressiveClassifier,0.36065573770491804,0.3238787113787114,0.34845894732265886,31.753804683685303,Success
SGDClassifier,0.36065573770491804,0.32889985389985393,0.34604837812617706,37.315890073776245,Success
LinearDiscriminantAnalysis,0.24824355971896955,0.22834714084714083,0.2559465752747319,7.769320726394653,Success
LinearSVC,0.5644028103044496,0.5263129888129888,0.5492357332241837,123.24726152420044,Success
QuadraticDiscriminantAnalysis,0.03161592505854801,0.03088619338619339,0.03091285682429501,0.8386006355285645,Success
DecisionTreeClassifier,0.24824355971896955,0.22636552636552637,0.25153856124744817,29.687488317489624,Success
ExtraTreeClassifier,0.22950819672131148,0.20909514659514658,0.22625534324407265,0.09220409393310547,Success
RandomForestClassifier,0.47892271662763464,0.4368668493668494,0.4639180890591676,4.223028898239136,Success
ExtraTreesClassifier,0.477751756440281,0.4412368037368038,0.462958092277743,0.8901984691619873,Success
AdaBoostClassifier,0.06791569086651054,0.05752400752400753,0.032685378167133274,83.87674260139465,Success
BaggingClassifier,0.38992974238875877,0.3591566466566467,0.3768352371808151,28.103309154510498,Success
CalibratedClassifierCV,0.5597189695550351,0.5189132189132191,0.5390633524232742,344.40532088279724,Success
