Model,Accuracy,Balanced Accuracy,F1 Score,Time Taken,Status
LinearSVC,0.5644028103044496,0.5263129888129888,0.5492357332241837,123.24726152420044,Success
CalibratedClassifierCV,0.5597189695550351,0.5189132189132191,0.5390633524232742,344.40532088279724,Success
LogisticRegression,0.531615925058548,0.4916122916122916,0.5162133912670261,95.5872073173523,Success
RidgeClassifier,0.49063231850117095,0.44134165384165386,0.45817540376672455,0.500725269317627,Success
RandomForestClassifier,0.47892271662763464,0.4368668493668494,0.4639180890591676,4.223028898239136,Success
ExtraTreesClassifier,0.477751756440281,0.4412368037368038,0.462958092277743,0.8901984691619873,Success
RidgeClassifierCV,0.4601873536299766,0.4122320997320997,0.41971349907189,7.431884527206421,Success
BaggingClassifier,0.38992974238875877,0.3591566466566467,0.3768352371808151,28.103309154510498,Success
PassiveAggressiveClassifier,0.36065573770491804,0.3238787113787114,0.34845894732265886,31.753804683685303,Success
SGDClassifier,0.36065573770491804,0.32889985389985393,0.34604837812617706,37.315890073776245,Success
