num_layers,layers,accuracy,balanced_accuracy,f1_score,train_samples,valid_samples,epochs,learning_rate
2,"[200, 100]",0.5275,0.5281203796203795,0.5173899849555305,1600,400,10,0.001
5,"[400, 300, 200, 100, 50]",0.4625,0.4789985569985571,0.4517246917155091,1600,400,10,0.001
